bug_id,project_id,severity,description,reported_date,resolved
61,274,Critical,Déclenchement incorrect d’un message d’avertissement. (bug #61),2022-02-27,1
62,82,High,Erreur de conversion d’encodage. (bug #62),2023-07-13,1
63,486,Critical,Crash lié à la gestion de la mémoire. (bug #63),2023-01-26,1
64,302,Medium,Déclenchement incorrect d’un message d’avertissement. (bug #64),2023-01-25,0
65,134,High,Crash lié à la gestion de la mémoire. (bug #65),2024-12-25,0
66,402,High,Incompatibilité avec certaines extensions. (bug #66),2022-01-09,1
67,16,High,Les macros ne s’exécutent pas correctement. (bug #67),2023-08-26,0
68,13,Critical,Blocage aléatoire lors de l’édition d’un document. (bug #68),2023-11-18,1
69,77,High,Module d’impression ne répond plus. (bug #69),2022-02-18,1
70,42,Medium,Les macros ne s’exécutent pas correctement. (bug #70),2022-11-05,0
71,445,High,Fonction de mise en forme ne s’applique pas correctement. (bug #71),2024-04-24,1
72,63,Medium,La mise en page change après la réouverture du document. (bug #72),2024-10-10,1
73,224,Low,Déclenchement incorrect d’un message d’avertissement. (bug #73),2024-03-24,0
74,267,Low,Module d’impression ne répond plus. (bug #74),2024-01-20,1
75,75,High,Incompatibilité avec certaines extensions. (bug #75),2023-03-21,0
76,33,Low,Déclenchement incorrect d’un message d’avertissement. (bug #76),2023-03-16,1
77,323,Medium,Export PDF ne génère pas le bon format. (bug #77),2023-12-30,0
78,323,High,Module d’impression ne répond plus. (bug #78),2024-07-21,0
79,209,Critical,Erreur de compilation dans le module principal. (bug #79),2024-08-05,1
80,359,High,Module d’impression ne répond plus. (bug #80),2024-05-18,0
81,478,Critical,Synchronisation cloud échoue dans certaines conditions. (bug #81),2022-12-05,1
82,377,Low,Problème de performance lors du chargement de gros fichiers. (bug #82),2023-04-16,1
83,36,Critical,Problème de performance lors du chargement de gros fichiers. (bug #83),2022-08-29,1
84,478,Critical,Crash lié à la gestion de la mémoire. (bug #84),2024-02-21,1
85,322,Low,Synchronisation cloud échoue dans certaines conditions. (bug #85),2024-07-19,1
86,490,Medium,La mise en page change après la réouverture du document. (bug #86),2023-05-21,0
87,187,Medium,Données corrompues lors de la fusion de documents. (bug #87),2024-09-29,1
88,156,Low,Déclenchement incorrect d’un message d’avertissement. (bug #88),2024-10-23,1
89,17,High,La mise en page change après la réouverture du document. (bug #89),2023-03-22,1
90,481,High,Données corrompues lors de la fusion de documents. (bug #90),2022-08-05,0
91,336,Medium,Problème avec les raccourcis clavier personnalisés. (bug #91),2023-02-13,1
92,332,High,Fonction de mise en forme ne s’applique pas correctement. (bug #92),2024-07-03,0
93,247,Critical,Problème avec les raccourcis clavier personnalisés. (bug #93),2023-05-31,0
94,96,High,Erreur de conversion d’encodage. (bug #94),2024-07-15,1
95,283,High,Blocage aléatoire lors de l’édition d’un document. (bug #95),2024-01-08,0
96,290,High,Module d’impression ne répond plus. (bug #96),2024-12-18,1
97,314,Critical,Module d’impression ne répond plus. (bug #97),2024-01-26,0
98,477,Medium,Export PDF ne génère pas le bon format. (bug #98),2022-11-13,1
99,332,High,Blocage aléatoire lors de l’édition d’un document. (bug #99),2023-05-25,1
100,356,Medium,Erreur de conversion d’encodage. (bug #100),2023-10-05,0
101,400,Critical,Crash lors de l'ouverture du fichier. (bug #101),2022-08-08,0
102,66,Critical,Module d’impression ne répond plus. (bug #102),2022-05-29,1
103,2,Medium,Blocage aléatoire lors de l’édition d’un document. (bug #103),2023-10-18,1
104,428,Low,Crash lors de l'ouverture du fichier. (bug #104),2022-01-05,1
105,56,Low,Problème d’affichage dans l’interface utilisateur. (bug #105),2023-04-06,1
106,189,Critical,La mise en page change après la réouverture du document. (bug #106),2023-03-26,1
107,21,High,Export PDF ne génère pas le bon format. (bug #107),2023-11-28,1
108,68,High,Fonction de mise en forme ne s’applique pas correctement. (bug #108),2023-09-10,1
109,491,Low,Export PDF ne génère pas le bon format. (bug #109),2024-11-03,0
110,227,High,Synchronisation cloud échoue dans certaines conditions. (bug #110),2023-04-22,0
111,430,Critical,Déclenchement incorrect d’un message d’avertissement. (bug #111),2024-09-21,0
112,1,Medium,Erreur de conversion d’encodage. (bug #112),2024-05-19,0
113,83,Critical,Impossible de charger certains modèles. (bug #113),2023-05-08,0
114,162,High,Déclenchement incorrect d’un message d’avertissement. (bug #114),2024-02-23,0
115,132,Low,Données corrompues lors de la fusion de documents. (bug #115),2023-03-04,0
116,460,Medium,Module d’impression ne répond plus. (bug #116),2024-01-21,1
117,153,Critical,Problème avec les raccourcis clavier personnalisés. (bug #117),2023-12-10,0
118,317,Critical,Les macros ne s’exécutent pas correctement. (bug #118),2024-12-27,0
119,283,Critical,Les macros ne s’exécutent pas correctement. (bug #119),2024-11-04,1
120,447,Medium,Impossible de charger certains modèles. (bug #120),2022-12-18,0
121,107,Low,Export PDF ne génère pas le bon format. (bug #121),2022-01-25,0
122,488,Medium,Les macros ne s’exécutent pas correctement. (bug #122),2022-05-20,0
123,421,Medium,Impossible de charger certains modèles. (bug #123),2023-05-19,0
124,334,High,Erreur de compilation dans le module principal. (bug #124),2024-04-17,1
125,182,Critical,Module d’impression ne répond plus. (bug #125),2022-04-16,0
126,347,Critical,Fonction de mise en forme ne s’applique pas correctement. (bug #126),2024-05-15,0
127,418,Medium,Incompatibilité avec certaines extensions. (bug #127),2022-02-10,1
128,269,Low,Les macros ne s’exécutent pas correctement. (bug #128),2024-04-13,0
129,300,High,Impossible de charger certains modèles. (bug #129),2022-02-01,0
130,427,Low,Fonction de recherche ne retourne pas les bons résultats. (bug #130),2023-01-11,0
131,106,Low,Crash lors de l'ouverture du fichier. (bug #131),2023-04-16,1
132,85,Low,Module d’impression ne répond plus. (bug #132),2023-09-25,0
133,367,Low,Problème avec les raccourcis clavier personnalisés. (bug #133),2023-04-26,1
134,475,Medium,Erreur de compilation dans le module principal. (bug #134),2023-07-13,0
135,309,Critical,Fonction de mise en forme ne s’applique pas correctement. (bug #135),2023-01-13,1
136,311,High,Problème avec les raccourcis clavier personnalisés. (bug #136),2022-11-30,0
137,104,Critical,Données corrompues lors de la fusion de documents. (bug #137),2023-06-13,0
138,22,High,Synchronisation cloud échoue dans certaines conditions. (bug #138),2023-08-02,1
139,500,Low,Problème d’affichage dans l’interface utilisateur. (bug #139),2022-07-09,0
140,72,Medium,Synchronisation cloud échoue dans certaines conditions. (bug #140),2022-04-14,0
141,380,Medium,Blocage aléatoire lors de l’édition d’un document. (bug #141),2022-10-25,1
142,484,High,Blocage aléatoire lors de l’édition d’un document. (bug #142),2024-05-31,0
143,14,High,Crash lors de l'ouverture du fichier. (bug #143),2022-08-31,1
144,205,Medium,Problème de performance lors du chargement de gros fichiers. (bug #144),2024-11-02,0
145,401,Medium,Incompatibilité avec certaines extensions. (bug #145),2024-03-02,1
146,103,Critical,Export PDF ne génère pas le bon format. (bug #146),2022-05-21,0
147,468,Medium,La mise en page change après la réouverture du document. (bug #147),2023-09-09,0
148,8,Medium,Données corrompues lors de la fusion de documents. (bug #148),2022-02-18,1
149,318,High,Les macros ne s’exécutent pas correctement. (bug #149),2024-07-05,1
150,145,Low,Déclenchement incorrect d’un message d’avertissement. (bug #150),2024-06-01,0
151,416,Medium,Les macros ne s’exécutent pas correctement. (bug #151),2024-08-24,0
152,390,Critical,Crash lié à la gestion de la mémoire. (bug #152),2022-12-27,0
153,362,Critical,Problème avec les raccourcis clavier personnalisés. (bug #153),2023-12-28,0
154,449,High,Problème d’affichage dans l’interface utilisateur. (bug #154),2024-06-22,0
155,261,Medium,Problème avec les raccourcis clavier personnalisés. (bug #155),2023-05-24,0
156,251,Critical,Impossible de charger certains modèles. (bug #156),2023-12-20,0
157,33,Critical,Erreur de conversion d’encodage. (bug #157),2023-08-29,1
158,415,Critical,Erreur de compilation dans le module principal. (bug #158),2022-10-13,0
159,105,Critical,Crash lors de l'ouverture du fichier. (bug #159),2023-06-21,1
160,237,Low,Données corrompues lors de la fusion de documents. (bug #160),2023-09-11,1
161,280,Medium,Impossible de charger certains modèles. (bug #161),2023-07-13,0
162,373,Critical,Les macros ne s’exécutent pas correctement. (bug #162),2024-08-30,0
163,349,Critical,Export PDF ne génère pas le bon format. (bug #163),2024-06-13,0
164,487,Critical,Crash lors de l'ouverture du fichier. (bug #164),2022-09-19,0
165,440,Medium,Incompatibilité avec certaines extensions. (bug #165),2023-07-04,0
166,171,Low,Déclenchement incorrect d’un message d’avertissement. (bug #166),2023-08-01,0
167,347,Critical,Fonction de mise en forme ne s’applique pas correctement. (bug #167),2023-01-26,0
168,396,Critical,Synchronisation cloud échoue dans certaines conditions. (bug #168),2024-08-17,0
169,349,Low,La mise en page change après la réouverture du document. (bug #169),2022-05-06,0
170,307,High,Crash lors de l'ouverture du fichier. (bug #170),2024-04-15,0
171,41,Medium,Module d’impression ne répond plus. (bug #171),2023-03-30,1
172,173,Medium,Blocage aléatoire lors de l’édition d’un document. (bug #172),2022-05-08,1
173,500,High,Crash lors de l'ouverture du fichier. (bug #173),2023-10-22,0
174,290,Low,Module d’impression ne répond plus. (bug #174),2022-01-01,1
175,288,Critical,Crash lié à la gestion de la mémoire. (bug #175),2023-08-02,1
176,406,High,Blocage aléatoire lors de l’édition d’un document. (bug #176),2022-05-15,1
177,69,Medium,Export PDF ne génère pas le bon format. (bug #177),2023-07-04,1
178,15,Critical,Module d’impression ne répond plus. (bug #178),2023-08-28,0
179,156,Critical,Synchronisation cloud échoue dans certaines conditions. (bug #179),2023-07-08,0
180,111,Critical,Crash lié à la gestion de la mémoire. (bug #180),2024-11-29,0
181,179,High,Erreur de conversion d’encodage. (bug #181),2022-06-20,1
182,105,Low,Module d’impression ne répond plus. (bug #182),2024-04-10,0
183,277,Medium,Export PDF ne génère pas le bon format. (bug #183),2024-01-14,1
184,314,Low,La mise en page change après la réouverture du document. (bug #184),2023-06-05,0
185,218,Low,Synchronisation cloud échoue dans certaines conditions. (bug #185),2022-07-21,1
186,382,Low,Fonction de recherche ne retourne pas les bons résultats. (bug #186),2022-08-11,1
187,367,Low,La mise en page change après la réouverture du document. (bug #187),2024-08-27,0
188,108,Critical,Erreur de compilation dans le module principal. (bug #188),2023-04-08,1
189,213,Critical,Blocage aléatoire lors de l’édition d’un document. (bug #189),2023-12-25,1
190,74,High,Module d’impression ne répond plus. (bug #190),2022-06-07,0
191,155,Medium,Données corrompues lors de la fusion de documents. (bug #191),2023-09-08,1
192,225,Critical,Export PDF ne génère pas le bon format. (bug #192),2024-09-19,1
193,95,Medium,Impossible de charger certains modèles. (bug #193),2023-10-26,1
194,338,Medium,Les macros ne s’exécutent pas correctement. (bug #194),2024-06-22,0
195,3,Medium,Fonction de recherche ne retourne pas les bons résultats. (bug #195),2022-11-16,1
196,455,High,Déclenchement incorrect d’un message d’avertissement. (bug #196),2023-02-12,1
197,152,High,Fonction de recherche ne retourne pas les bons résultats. (bug #197),2022-10-10,1
198,468,High,Incompatibilité avec certaines extensions. (bug #198),2023-01-06,1
199,451,Critical,Problème d’affichage dans l’interface utilisateur. (bug #199),2023-03-13,0
200,261,Low,Impossible de charger certains modèles. (bug #200),2024-11-22,0
201,313,High,Problème avec les raccourcis clavier personnalisés. (bug #201),2024-03-08,1
202,416,High,Erreur de compilation dans le module principal. (bug #202),2022-03-19,0
203,200,Low,Synchronisation cloud échoue dans certaines conditions. (bug #203),2024-08-19,1
204,92,Medium,Blocage aléatoire lors de l’édition d’un document. (bug #204),2024-02-05,1
205,372,Medium,Impossible de charger certains modèles. (bug #205),2022-04-02,1
206,158,Medium,Export PDF ne génère pas le bon format. (bug #206),2024-01-07,1
207,296,Critical,Les macros ne s’exécutent pas correctement. (bug #207),2024-08-03,0
208,241,Medium,Problème avec les raccourcis clavier personnalisés. (bug #208),2022-01-09,1
209,472,Critical,Export PDF ne génère pas le bon format. (bug #209),2022-08-16,0
210,444,Critical,Erreur de compilation dans le module principal. (bug #210),2024-04-03,0
211,276,Low,Problème d’affichage dans l’interface utilisateur. (bug #211),2022-06-05,0
212,7,Low,La mise en page change après la réouverture du document. (bug #212),2022-03-22,0
213,429,Critical,Crash lié à la gestion de la mémoire. (bug #213),2022-02-21,1
214,328,Low,Les macros ne s’exécutent pas correctement. (bug #214),2023-11-05,1
215,90,High,Export PDF ne génère pas le bon format. (bug #215),2023-08-27,0
216,223,Medium,Erreur de conversion d’encodage. (bug #216),2023-04-12,0
217,356,Medium,Erreur de compilation dans le module principal. (bug #217),2023-09-16,1
218,177,High,Impossible de charger certains modèles. (bug #218),2023-03-15,1
219,225,Low,Crash lors de l'ouverture du fichier. (bug #219),2024-10-20,0
220,495,High,Problème de performance lors du chargement de gros fichiers. (bug #220),2022-04-28,0
221,313,Critical,Fonction de mise en forme ne s’applique pas correctement. (bug #221),2023-11-19,1
222,426,High,Export PDF ne génère pas le bon format. (bug #222),2024-06-01,0
223,106,High,Erreur de sauvegarde dans le module de traitement. (bug #223),2023-08-12,1
224,112,Low,Problème de performance lors du chargement de gros fichiers. (bug #224),2022-10-20,0
225,465,Low,Problème d’affichage dans l’interface utilisateur. (bug #225),2023-07-27,0
226,38,Low,Crash lors de l'ouverture du fichier. (bug #226),2023-06-20,1
227,113,Critical,Crash lié à la gestion de la mémoire. (bug #227),2022-09-11,1
228,34,Low,Erreur de sauvegarde dans le module de traitement. (bug #228),2024-11-16,0
229,16,High,Fonction de recherche ne retourne pas les bons résultats. (bug #229),2022-08-11,0
230,29,Medium,La mise en page change après la réouverture du document. (bug #230),2024-02-01,0
231,220,Critical,Synchronisation cloud échoue dans certaines conditions. (bug #231),2022-10-23,0
232,243,Low,Problème avec les raccourcis clavier personnalisés. (bug #232),2022-11-20,1
233,94,Low,Les macros ne s’exécutent pas correctement. (bug #233),2024-02-11,1
234,26,High,Module d’impression ne répond plus. (bug #234),2022-03-28,1
235,40,Critical,Problème avec les raccourcis clavier personnalisés. (bug #235),2024-12-24,0
236,290,High,Problème avec les raccourcis clavier personnalisés. (bug #236),2023-06-17,0
237,413,Critical,Fonction de recherche ne retourne pas les bons résultats. (bug #237),2022-10-26,1
238,339,Medium,Module d’impression ne répond plus. (bug #238),2022-04-27,0
239,97,Low,Erreur de compilation dans le module principal. (bug #239),2023-05-28,1
240,51,Low,Incompatibilité avec certaines extensions. (bug #240),2024-06-01,0
241,25,High,Export PDF ne génère pas le bon format. (bug #241),2023-10-24,1
242,331,Critical,Les macros ne s’exécutent pas correctement. (bug #242),2022-11-16,1
243,391,High,Module d’impression ne répond plus. (bug #243),2024-04-09,1
244,225,Medium,Erreur de sauvegarde dans le module de traitement. (bug #244),2023-02-16,1
245,1,High,Fonction de mise en forme ne s’applique pas correctement. (bug #245),2024-10-01,1
246,157,High,Les macros ne s’exécutent pas correctement. (bug #246),2022-05-16,1
247,254,Critical,Synchronisation cloud échoue dans certaines conditions. (bug #247),2022-03-21,0
248,139,Critical,Problème d’affichage dans l’interface utilisateur. (bug #248),2022-12-31,1
249,41,High,Incompatibilité avec certaines extensions. (bug #249),2024-12-26,0
250,466,Low,Déclenchement incorrect d’un message d’avertissement. (bug #250),2024-04-27,1
251,192,High,Données corrompues lors de la fusion de documents. (bug #251),2022-06-04,1
252,425,High,Impossible de charger certains modèles. (bug #252),2024-12-18,0
253,217,Medium,Erreur de sauvegarde dans le module de traitement. (bug #253),2022-06-04,1
254,335,Medium,Problème d’affichage dans l’interface utilisateur. (bug #254),2023-12-19,0
255,404,High,Fonction de recherche ne retourne pas les bons résultats. (bug #255),2023-03-23,1
256,345,Low,Module d’impression ne répond plus. (bug #256),2023-09-29,1
257,441,Low,Crash lié à la gestion de la mémoire. (bug #257),2023-03-28,1
258,209,Low,Export PDF ne génère pas le bon format. (bug #258),2023-01-28,0
259,337,Low,Module d’impression ne répond plus. (bug #259),2023-12-20,1
260,252,Medium,Données corrompues lors de la fusion de documents. (bug #260),2024-01-10,1
261,424,Medium,Déclenchement incorrect d’un message d’avertissement. (bug #261),2024-12-22,1
262,187,High,Problème d’affichage dans l’interface utilisateur. (bug #262),2022-05-01,1
263,472,Low,Erreur de conversion d’encodage. (bug #263),2022-04-15,1
264,404,Critical,Erreur de compilation dans le module principal. (bug #264),2022-10-23,0
265,210,Medium,La mise en page change après la réouverture du document. (bug #265),2023-01-13,0
266,89,Medium,Erreur de compilation dans le module principal. (bug #266),2023-03-29,1
267,407,Critical,Fonction de mise en forme ne s’applique pas correctement. (bug #267),2022-09-06,0
268,47,Low,Données corrompues lors de la fusion de documents. (bug #268),2023-04-10,1
269,367,Low,Les macros ne s’exécutent pas correctement. (bug #269),2024-04-14,0
270,391,Medium,Crash lors de l'ouverture du fichier. (bug #270),2022-01-27,1
271,391,Critical,Erreur de sauvegarde dans le module de traitement. (bug #271),2023-01-27,0
272,303,Medium,La mise en page change après la réouverture du document. (bug #272),2023-09-24,1
273,213,Critical,La mise en page change après la réouverture du document. (bug #273),2024-08-10,0
274,428,Low,Erreur de conversion d’encodage. (bug #274),2023-03-28,1
275,19,Critical,Problème avec les raccourcis clavier personnalisés. (bug #275),2023-12-31,1
276,472,Critical,Erreur de conversion d’encodage. (bug #276),2023-09-10,0
277,105,Medium,Données corrompues lors de la fusion de documents. (bug #277),2024-06-12,0
278,283,Critical,Synchronisation cloud échoue dans certaines conditions. (bug #278),2022-02-08,1
279,156,Low,Erreur de compilation dans le module principal. (bug #279),2024-08-02,0
280,188,Low,Synchronisation cloud échoue dans certaines conditions. (bug #280),2022-10-21,1
281,133,High,Déclenchement incorrect d’un message d’avertissement. (bug #281),2023-10-19,0
282,199,Low,La mise en page change après la réouverture du document. (bug #282),2023-12-09,1
283,198,High,Problème de performance lors du chargement de gros fichiers. (bug #283),2023-04-20,0
284,483,Critical,Erreur de sauvegarde dans le module de traitement. (bug #284),2022-08-27,1
285,163,High,Problème de performance lors du chargement de gros fichiers. (bug #285),2023-11-04,1
286,458,High,Incompatibilité avec certaines extensions. (bug #286),2023-07-22,1
287,230,Low,Incompatibilité avec certaines extensions. (bug #287),2023-01-03,1
288,223,High,Blocage aléatoire lors de l’édition d’un document. (bug #288),2023-10-05,1
289,274,Low,Les macros ne s’exécutent pas correctement. (bug #289),2024-11-21,0
290,392,Low,Les macros ne s’exécutent pas correctement. (bug #290),2022-02-12,1
291,496,High,La mise en page change après la réouverture du document. (bug #291),2023-07-30,0
292,353,Critical,Export PDF ne génère pas le bon format. (bug #292),2024-01-20,0
293,248,Low,Déclenchement incorrect d’un message d’avertissement. (bug #293),2022-09-19,1
294,478,High,Erreur de compilation dans le module principal. (bug #294),2022-11-16,1
295,375,High,Module d’impression ne répond plus. (bug #295),2022-04-24,1
296,440,Medium,Problème d’affichage dans l’interface utilisateur. (bug #296),2022-11-19,0
297,249,Medium,Incompatibilité avec certaines extensions. (bug #297),2024-11-25,1
298,220,High,Export PDF ne génère pas le bon format. (bug #298),2024-09-13,0
299,51,High,Crash lors de l'ouverture du fichier. (bug #299),2024-12-04,0
300,370,Low,Fonction de recherche ne retourne pas les bons résultats. (bug #300),2023-07-25,0
301,60,Medium,Synchronisation cloud échoue dans certaines conditions. (bug #301),2022-01-28,1
302,190,High,Synchronisation cloud échoue dans certaines conditions. (bug #302),2022-10-30,0
303,402,High,Blocage aléatoire lors de l’édition d’un document. (bug #303),2024-01-17,0
304,319,Low,Synchronisation cloud échoue dans certaines conditions. (bug #304),2023-05-30,0
305,265,High,Erreur de sauvegarde dans le module de traitement. (bug #305),2022-01-05,1
306,51,High,Erreur de sauvegarde dans le module de traitement. (bug #306),2024-11-06,1
307,298,Medium,Synchronisation cloud échoue dans certaines conditions. (bug #307),2024-12-25,1
308,93,High,Erreur de sauvegarde dans le module de traitement. (bug #308),2022-10-21,0
309,423,Medium,Crash lors de l'ouverture du fichier. (bug #309),2024-07-24,1
310,360,Low,Crash lors de l'ouverture du fichier. (bug #310),2022-02-10,0
311,346,Low,Problème avec les raccourcis clavier personnalisés. (bug #311),2023-04-07,1
312,313,High,Impossible de charger certains modèles. (bug #312),2023-12-06,1
313,141,High,Erreur de conversion d’encodage. (bug #313),2023-08-06,0
314,280,Critical,Erreur de sauvegarde dans le module de traitement. (bug #314),2022-12-15,0
315,256,Critical,Incompatibilité avec certaines extensions. (bug #315),2023-08-04,0
316,355,High,Erreur de compilation dans le module principal. (bug #316),2022-05-25,1
317,357,High,Fonction de mise en forme ne s’applique pas correctement. (bug #317),2023-10-09,1
318,280,Low,Crash lors de l'ouverture du fichier. (bug #318),2024-12-04,1
319,253,Medium,Erreur de conversion d’encodage. (bug #319),2023-02-23,0
320,373,High,Impossible de charger certains modèles. (bug #320),2022-07-16,0
321,115,Medium,Fonction de mise en forme ne s’applique pas correctement. (bug #321),2023-10-21,0
322,126,Low,Problème avec les raccourcis clavier personnalisés. (bug #322),2024-10-14,0
323,108,Medium,Impossible de charger certains modèles. (bug #323),2022-03-11,0
324,254,Low,Synchronisation cloud échoue dans certaines conditions. (bug #324),2023-05-15,0
325,295,High,Déclenchement incorrect d’un message d’avertissement. (bug #325),2023-08-23,1
326,461,Critical,Erreur de conversion d’encodage. (bug #326),2022-01-13,0
327,116,Critical,Problème d’affichage dans l’interface utilisateur. (bug #327),2022-01-14,1
328,162,High,Fonction de mise en forme ne s’applique pas correctement. (bug #328),2022-10-13,0
329,25,High,Crash lors de l'ouverture du fichier. (bug #329),2024-02-13,1
330,230,Low,Problème d’affichage dans l’interface utilisateur. (bug #330),2024-07-21,1
331,16,Critical,Incompatibilité avec certaines extensions. (bug #331),2023-11-17,0
332,490,Critical,Erreur de sauvegarde dans le module de traitement. (bug #332),2023-07-27,0
333,378,Medium,Problème de performance lors du chargement de gros fichiers. (bug #333),2023-07-27,1
334,307,Medium,Impossible de charger certains modèles. (bug #334),2022-07-16,1
335,426,High,La mise en page change après la réouverture du document. (bug #335),2024-12-18,1
336,154,Medium,Erreur de conversion d’encodage. (bug #336),2024-11-19,1
337,406,Critical,Problème de performance lors du chargement de gros fichiers. (bug #337),2023-12-27,1
338,26,Critical,La mise en page change après la réouverture du document. (bug #338),2023-05-11,0
339,370,Critical,Impossible de charger certains modèles. (bug #339),2022-07-28,1
340,39,High,Erreur de sauvegarde dans le module de traitement. (bug #340),2022-11-18,0
341,94,Critical,Données corrompues lors de la fusion de documents. (bug #341),2024-05-31,1
342,126,Critical,Erreur de conversion d’encodage. (bug #342),2023-09-25,0
343,41,Low,Déclenchement incorrect d’un message d’avertissement. (bug #343),2023-06-09,0
344,457,Low,Erreur de compilation dans le module principal. (bug #344),2022-05-23,1
345,144,High,La mise en page change après la réouverture du document. (bug #345),2024-12-10,1
346,88,High,Incompatibilité avec certaines extensions. (bug #346),2023-06-30,1
347,354,Critical,Blocage aléatoire lors de l’édition d’un document. (bug #347),2024-11-05,0
348,370,Critical,Erreur de sauvegarde dans le module de traitement. (bug #348),2023-03-26,0
349,131,High,Déclenchement incorrect d’un message d’avertissement. (bug #349),2023-07-15,1
350,485,Critical,Export PDF ne génère pas le bon format. (bug #350),2022-08-02,1
